Model, M1T16, M2T16, M8T16, M16T16, M32T16, Sylvan1, Sylvan8, Sylvan16
IBM319, 2.68413633333333, 5.27476866666667, 7.16672, 8.16934766666667, 9.36718366666667, 1.2106956, 0.2204836, 0.1630808
IBM5964, 1.360154, 2.44746333333333, 3.111057, 3.368869, 3.85130433333333, 0.3330642, 0.0745858, 0.0626468
IBM703, 4.73396333333333, 9.08847266666667, 10.7012403333333, 12.0199836666667, 14.1961533333333, 2.9438292, 0.4963116, 0.3351276
IBMB2S565S3960, -, -, -, -, -, -, -, -
IOTPc12m10p15d17, -, -, -, -, -, -, -, -
IOTPc1m1p1d1, 0.525508, 1.02743, 1.44855633333333, 1.57569766666667, 1.80170166666667, 0.1370172, 0.037377, 0.0352604
IOTPc3m3p3d3, 7.98285533333333, 16.1672933333333, 14.5835416666667, 14.3996746666667, 15.7150836666667, 8.277844, 1.2979478, 0.8111414
IOTPc5m4p3d2, 21.069469, 48.4532543333333, 30.3803493333333, 25.066761, 24.1002853333333, 45.9718868, 7.0213512, 4.2784518
Kanban-10, 4.46603666666667, 6.47462266666667, 3.62686666666667, 2.74833533333333, 2.26629866666667, 3.5652722, 0.6183552, 0.4090834
Kanban-20, 36.557085, 69.7619796666667, 33.97013, 23.3496516666667, 17.629277, 62.671894, 11.5522948, 6.4430142
Kanban-50, 2063.7565555, 3462.9657525, 1317.811652, 773.587416333333, 532.093548, -, -, 2714.0636044
Kanban-5, 0.654839666666667, 0.877009333333333, 0.682187, 0.662371, 0.664039, 0.676269, 0.1418502, 0.1192138
lamportfmea-2, 0.233149, 0.403104333333333, 0.482319666666667, 0.513761, 0.586996333333333, 0.1106306, 0.0192226, 0.0161314
lamportfmea-3, 2.48976766666667, 3.82288066666667, 2.80653, 2.62564966666667, 2.68418366666667, 1.7127704, 0.2477708, 0.1511998
lamportfmea-4, 16.25149, 32.4135726666667, 18.1180126666667, 13.8053216666667, 11.356883, 31.9708902, 4.233206, 2.5019482
lamportfmea-5, 159.358950333333, 357.814610333333, 169.96315, 109.234191333333, 75.699413, 816.683189, 120.616746, 67.7383842
MAPK-160, -, -, -, -, -, -, -, -
MAPK-20, 8.65131533333333, 13.558708, 7.79171166666667, 6.06850466666667, 5.258326, 9.9777798, 1.8023298, 1.1993506
MAPK-40, 53.7732693333333, 112.204285333333, 55.6545083333333, 39.328702, 30.944816, 136.1533718, 27.5480706, 19.930577
MAPK-80, 701.944085333333, 1480.84317133333, 698.861005333333, 432.258350333333, 306.200653, -, -, -
MAPK-8, 0.798497, 1.12606, 0.888389, 0.853401, 0.883017666666667, 0.6165554, 0.1351706, 0.1149014
MultiwaySync, -, -, -, 1547.51202, 661.808333, -, -, -
neoelection-2unf, 1.189344, 2.385761, 3.394671, 3.852445, 4.403224, 0.156412, 0.0568746, 0.0565372
neoelection-3unf, 19.2468643333333, 50.8140896666667, 45.4179556666667, 45.1405406666667, 48.2529796666667, 23.446082, 4.104225, 2.709388
opensystem0, 24.2095363333333, 66.416257, 55.123653, 53.760513, 57.661932, 55.8728162, 8.2536876, 5.0725244
parking14, 0.500778666666667, 0.75311, 0.698435, 0.730194666666667, 0.778301, 0.3137604, 0.054117, 0.0405716
parking28, 9.20570766666667, 18.2038253333333, 11.2765306666667, 8.49916366666667, 7.34121633333333, 11.3522324, 1.8261422, 1.1034576
parking416, -, -, 1069.687847, 801.100514666667, 539.857021, -, -, -
Peterson-2, 2.85446433333333, 4.66580633333333, 3.84460566666667, 3.81722066666667, 4.121949, 2.3369228, 0.2994014, 0.190374
Peterson-3, 54.5984456666667, 118.903427, 67.0747543333333, 50.0386686666667, 42.7247726666667, 180.5038452, 25.6079518, 14.5259092
Philosophers-100, 83.533341, 269.803161, 251.046412666667, 306.278408333333, 341.602050666667, -, 1159.3784146, 1150.7037004
Philosophers-10, 0.221351333333333, 0.363699, 0.359359333333333, 0.357982666666667, 0.385241, 0.1928256, 0.0376558, 0.0237294
Philosophers-200, -, -, -, 3259.064004, 3089.547342, -, -, -
Philosophers-20, 1.265411, 2.214226, 1.91327833333333, 1.917934, 1.89794433333333, 0.5336758, 0.0907122, 0.0669768
Philosophers-500, -, -, -, -, -, -, -, -
Philosophers-50, 13.866613, 34.1485706666667, 28.2312953333333, 25.0721746666667, 28.1542403333333, 18.5261892, 3.7270534, 2.5779242
Philosophers-5, 0.0307596666666667, 0.051461, 0.064441, 0.0723343333333333, 0.0774803333333333, 0.2963434, 0.0699286, 0.0546848
philodyn-10-unfolded, 41.715491, 72.0512966666667, 32.0242396666667, 20.8864546666667, 15.0185143333333, 135.7249442, 19.0374372, 10.4095538
philodyn-3-unfolded, 0.0632513333333333, 0.106199, 0.12014, 0.129739, 0.14261, 0.0373666, 0.0074644, 0.0069714
ProductionCell, 150.674453666667, 421.641553333333, 259.030688, 201.075303666667, 168.146651333333, 624.3272754, 103.014228, 64.4780888
QCertifProtocol02-unfold, 0.504125333333333, 0.832569333333333, 0.999170333333333, 1.09199833333333, 1.197447, 0.1935324, 0.035975, 0.0275414
QCertifProtocol06-unfold, 25.994342, 54.7889593333333, 31.2595553333333, 24.795689, 21.6891703333333, 58.3112982, 8.4923018, 4.863167
raft02, 0.204013333333333, 0.322840333333333, 0.316555333333333, 0.329325666666667, 0.349259333333333, 0.2948512, 0.0574548, 0.043831
raft03, 1.76137766666667, 2.93979333333333, 2.248703, 2.03126733333333, 1.92816366666667, 0.8005198, 0.1406914, 0.1023184
raft04, 6.633962, 15.416458, 13.3305843333333, 11.8340893333333, 11.09987, 4.1697046, 0.8180622, 0.584692
raft05, 21.164999, 62.636533, 62.4014986666667, 62.5228056666667, 65.478595, 23.1733598, 4.5682814, 3.2513766
raft06, -, 377.653958, 388.342887, 389.946714, 442.8358475, 637.3310342, 189.961908, 158.8749744
raft07, -, -, -, -, -, -, -, -
railroad-005-pt, 1.23244366666667, 1.58277066666667, 1.062441, 0.931538, 0.902826666666667, 0.827606, 0.1263134, 0.0734606
